Model,Feature_set,Param_space,Gene,train_statistic,test_statistic,train_P_value,test_P_value,test_Mean_Squared_Error,train_Mean_Squared_Error,n_trials,Total_train,Total_test,random_state,n_alphas,fit_intercept
RandomForestRegressor,Featset1,Original,SCN9A,0.3855052068134767,0.2526579872506093,4.4186343604288553e-07,0.022867891162108654,0.06125318566027641,0.04880516814229632,10,161,81,807,77,True
RandomForestRegressor,Featset1,Original,SCN9A,0.35450957235439656,0.2665834218666454,3.951418554875027e-06,0.01614295778235994,0.05406114472787659,0.057278104695762264,10,161,81,728,77,True
RandomForestRegressor,Featset1,Original,SCN9A,,,,,0.0716747560109993,0.05226191288479253,10,161,81,708,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.431753002714105,0.22320036057096512,1.0751449425557253e-08,0.04518531691690111,0.0604838508967509,0.04778646897234294,10,161,81,803,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.38328819044877305,0.16798976215584038,5.207904880281247e-07,0.13385180859420315,0.05569477892131076,0.05537544644760054,10,161,81,231,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.37569543699978813,0.2316944750429743,9.060656583470129e-07,0.03741092589641335,0.049510530527908964,0.05358673984778223,10,161,81,690,77,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3552772543573975,0.36523063289431595,3.7528997266623787e-06,0.0008005573639688353,0.05666586917205315,0.052288601374173745,10,161,81,189,28,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3957886639078256,0.16905495208548896,2.0290375071432175e-07,0.13136821246236427,0.06962325743217178,0.04837610383578535,10,161,81,377,28,True
RandomForestRegressor,Featset1,Original,SCN9A,0.38227368640550446,0.33674114587416565,5.612411234319303e-07,0.0021130073031406763,0.053035445348955455,0.054131773003614186,10,161,81,291,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.36676955103009695,0.014300041781686364,1.7068548500528172e-06,0.8991727305415761,0.06415176580691924,0.052929054003773145,10,161,81,700,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.30228532801280455,0.28863562379886415,9.72878874244027e-05,0.008969481551847328,0.04990409338249343,0.06010434502158649,10,161,81,998,28,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3682079427902736,0.29538954452344196,1.5432244463556434e-06,0.007423856136969208,0.051863543086616275,0.05049114437703944,10,161,81,20,27,True
RandomForestRegressor,Featset1,Original,SCN9A,,,,,0.06914455791630489,0.060987982646404246,10,161,81,434,77,True
RandomForestRegressor,Featset1,Original,SCN9A,0.38490131747885825,0.33583183004808964,4.6214876195209896e-07,0.0021763205027151796,0.057605516949903186,0.05419130666289947,10,161,81,172,23,True
RandomForestRegressor,Featset1,Original,SCN9A,-0.0005596445552294995,0.136029405011029,0.9943783409960268,0.22594376307618325,0.05459273290088831,0.0681368286460169,10,161,81,305,92,False
RandomForestRegressor,Featset1,Original,SCN9A,0.3659585718507882,0.1337539950565252,1.806258974119643e-06,0.23387608639423813,0.05013457613076299,0.05742454009697236,10,161,81,701,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.317030435376752,0.29006943411012737,4.175858843203988e-05,0.008619628145838911,0.041926748584750304,0.0545705156826849,10,161,81,786,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3134053976665565,0.20351257235313522,5.1624078711942386e-05,0.06841463363627527,0.0655984495243309,0.051213365518053895,10,161,81,111,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.2851699434912908,0.17394594954841683,0.00024575756680210415,0.12041206699301553,0.059397922770614175,0.06073522273662502,10,161,81,174,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.11335488332825164,0.06889405022294907,0.15222281879395422,0.5411095618381876,0.05212026996942257,0.06637854384445395,10,161,81,814,19,False
RandomForestRegressor,Featset1,Original,SCN9A,0.29442757396429076,0.469947078580978,0.0001499557093560522,9.582843647475944e-06,0.04668949681107157,0.058246702149973024,10,161,81,967,28,True
RandomForestRegressor,Featset1,Original,SCN9A,,,,,0.06467203722844493,0.0587778822830771,10,161,81,703,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.33332842977133353,0.26834321274328127,1.5551457589784976e-05,0.015428779806913198,0.053506104780095244,0.053247516291835446,10,161,81,636,27,True
