Model,Feature_set,Param_space,Gene,train_statistic,test_statistic,train_P_value,test_P_value,test_Mean_Squared_Error,train_Mean_Squared_Error,n_trials,Total_train,Total_test,random_state,n_estimators,max_depth,max_features,max_samples
RandomForestRegressor,Featset1,Original,CD33,0.7441813253024282,0.4843144584689526,4.412157726791751e-59,3.286179906532001e-05,0.06826832242498265,0.0544899208713705,50,328,67,297,20,3,0.28741455978000807,0.8156489052452018
RandomForestRegressor,Featset1,Original,CD33,0.8049713367934305,0.3423628261897494,6.748515572504069e-76,0.004570154033558853,0.09160045691193239,0.047778337176956266,50,328,67,550,46,4,0.3889308097879372,0.7161511336229835
RandomForestRegressor,Featset1,Original,CD33,0.8546956402336249,0.6022962291116833,4.047379957703419e-95,6.967767749742082e-08,0.058002403691133776,0.036112641729237276,50,329,67,602,54,6,0.15599313214838123,0.9263719473965779
RandomForestRegressor,Featset1,Original,CD33,0.7969850097835841,0.6195390608633732,6.307762506614941e-73,2.2760467042201034e-08,0.07930462825107369,0.04267111205323669,50,326,67,224,135,5,0.05674564058660571,0.7601532133052756
RandomForestRegressor,Featset1,Original,CD33,0.7991206387907549,0.4063316760512235,3.815922549877118e-73,0.0006452364010744591,0.08363670980567622,0.0446961966879803,50,324,67,340,9,6,0.054194108005691084,0.6601963648688142
RandomForestRegressor,Featset1,Original,CD33,0.6864094205441843,0.5526875439774943,1.9592949919974036e-47,1.2380414726385806e-06,0.07676439981767756,0.06907000132786692,50,331,67,584,193,2,0.012153280814743483,0.6022777731899753
RandomForestRegressor,Featset1,Original,CD33,0.6398580853655513,0.532510651000964,2.2953026745615478e-38,3.5122248722198114e-06,0.08511449443092556,0.061524884757346236,50,321,67,112,11,2,0.02765733008467689,0.5485872508934392
RandomForestRegressor,Featset1,Original,CD33,0.8279277383262093,0.5081429300236261,1.2757319729297991e-82,1.1349489017536101e-05,0.08385399200272192,0.04057939261960485,50,323,67,754,116,5,0.28072201399181484,0.6756044394574999
RandomForestRegressor,Featset1,Original,CD33,0.7996489845360264,0.4393125198245178,4.363965169551652e-73,0.00019981650134591946,0.07748485452062215,0.037886420151517095,50,323,67,636,58,6,0.013455052286563955,0.9378754360235634
RandomForestRegressor,Featset1,Original,CD33,0.7721210273028207,0.563819759154528,9.417873503295087e-67,6.759563458746376e-07,0.05302749356647042,0.043604708693883734,50,331,67,720,140,5,0.01146654621954074,0.788831429064878
