Model,Feature_set,Param_space,Gene,train_statistic,test_statistic,train_P_value,test_P_value,test_Mean_Squared_Error,train_Mean_Squared_Error,n_trials,Total_train,Total_test,random_state,n_estimators,max_depth
RandomForestRegressor,Featset1,Original,SCN9A,0.5221339618008243,0.1884697828991927,1.2181374300677115e-12,0.0919884360106937,0.10068656053146384,0.06162221925387584,10,161,81,382,5,5
RandomForestRegressor,Featset1,Original,SCN9A,0.6609814188501323,0.17948393254519027,1.4084021989118582e-21,0.10886899915829289,0.12093522671006077,0.05589439744771256,10,161,81,795,3,6
RandomForestRegressor,Featset1,Original,SCN9A,0.301606659659223,0.13748601316357908,0.00010104168464261767,0.2209658527509892,0.07420377566837134,0.06490617577481747,10,161,81,432,5,2
RandomForestRegressor,Featset1,Original,SCN9A,0.5897820642492418,0.1443044242794959,1.8448036376532774e-16,0.19868997789647078,0.06651844463568293,0.043139179836822264,10,161,81,138,8,4
RandomForestRegressor,Featset1,Original,SCN9A,0.4605998837025049,-0.046219911954049266,7.850450820892598e-10,0.6820019581882427,0.09156456229878511,0.05677424144242269,10,161,81,890,9,3
RandomForestRegressor,Featset1,Original,SCN9A,0.6102739398812664,0.2659236685717479,8.404414624489726e-18,0.016417957037170895,0.06651328997994843,0.05246388975107935,10,161,81,670,5,5
RandomForestRegressor,Featset1,Original,SCN9A,0.36012721571206435,-0.035627287143320044,2.7013675806944474e-06,0.7521830776572643,0.07350776186481815,0.06382316318191052,10,161,81,963,5,2
RandomForestRegressor,Featset1,Original,SCN9A,0.5400033999299346,0.314925918070556,1.4414600983723262e-13,0.004189532218502508,0.06723494209312693,0.051966753419087935,10,161,81,607,9,3
RandomForestRegressor,Featset1,Original,SCN9A,0.5929432809950276,0.08709750956229026,1.1619711982404435e-16,0.4394248278397081,0.07420237362848167,0.04949233127441773,10,161,81,920,8,4
RandomForestRegressor,Featset1,Original,SCN9A,0.5849123217582824,0.296290628733945,3.7235693764291947e-16,0.007236474672726266,0.05362417368945125,0.048962927451307564,10,161,81,679,5,5
RandomForestRegressor,Featset1,Original,SCN9A,0.48140585871592845,0.2323255524056686,1.0160184480140625e-10,0.03688089531931821,0.05645847090587181,0.05446998056097974,10,161,81,912,9,3
RandomForestRegressor,Featset1,Original,SCN9A,0.6547012951847573,0.3341181560798128,4.525822451218407e-21,0.002300292668748286,0.06127352381808397,0.038499603927232465,10,161,81,931,5,5
RandomForestRegressor,Featset1,Original,SCN9A,0.5717366014197524,0.27583923243079733,2.3506383206252146e-15,0.012683744381793689,0.09723472862495577,0.04955797957107965,10,161,81,376,5,5
RandomForestRegressor,Featset1,Original,SCN9A,0.6053493064761346,0.08202839095926266,1.8018073338253178e-17,0.46660800896643073,0.07850477865883569,0.04621867663634675,10,161,81,253,8,4
RandomForestRegressor,Featset1,Original,SCN9A,0.5460354636612699,0.057443535563224186,6.813836573106956e-14,0.6104878262908877,0.07232759457151769,0.05227935514892442,10,161,81,211,8,4
RandomForestRegressor,Featset1,Original,SCN9A,0.6055383928662893,0.035639242715104956,1.7502382490521205e-17,0.7521025943436445,0.08957402108160148,0.04804227966115489,10,161,81,653,8,4
RandomForestRegressor,Featset1,Original,SCN9A,0.6238768134290393,0.08450770676819658,9.528782804101002e-19,0.4531997724761511,0.09066531949977574,0.05444451696490204,10,161,81,330,5,5
RandomForestRegressor,Featset1,Original,SCN9A,0.448865025547223,0.043190696167612466,2.3445715917592954e-09,0.7018285704371956,0.06801552811919365,0.05210514598434695,10,161,81,997,5,2
RandomForestRegressor,Featset1,Original,SCN9A,0.47632946631263,0.21522992149791956,1.694687125751227e-10,0.05365119696193219,0.08302165858720256,0.052202290281621835,10,161,81,968,7,4
RandomForestRegressor,Featset1,Original,SCN9A,0.5986187975715606,0.08511473615019881,5.002747003594294e-17,0.4499497549454846,0.09828438194018106,0.05163187286205824,10,161,81,309,5,5
