Model,Feature_set,Param_space,Gene,train_statistic,test_statistic,train_P_value,test_P_value,test_Mean_Squared_Error,train_Mean_Squared_Error,n_trials,Total_train,Total_test,random_state,n_estimators,max_depth,max_features,max_samples
RandomForestRegressor,Featset1,Original,SNCA,0.7167285013589146,0.28998791869557744,2.3683205765816094e-98,0.004581008644653573,0.0908712495247943,0.054871637327336895,50,617,94,696,110,6,0.09395923104325221,0.6717869988810551
RandomForestRegressor,Featset1,Original,SNCA,0.6981070067041173,0.2655411144391615,1.0315811459245664e-90,0.009690424282123088,0.09254236385105925,0.059492548401721974,50,613,94,238,110,5,0.4371443987634184,0.630017183228376
RandomForestRegressor,Featset1,Original,SNCA,0.5319650887972657,0.2899623419545562,7.017375080941257e-47,0.004584758111254508,0.07122173956902197,0.082545190381164,50,624,94,482,126,4,0.003627228569429335,0.6194813754759354
RandomForestRegressor,Featset1,Original,SNCA,0.6388427625200916,0.3173235510382177,7.784343453363652e-72,0.0017282720246444647,0.1139921252232038,0.06919453727832131,50,615,95,968,184,6,0.0005694639868111806,0.6447092444651634
RandomForestRegressor,Featset1,Original,SNCA,0.7612053009993114,0.3037333284558261,2.144592880469555e-117,0.0030789663005268606,0.09402782696235325,0.050113938435163485,50,615,93,999,183,6,0.4064598765321666,0.9436160619759455
RandomForestRegressor,Featset1,Original,SNCA,0.6868536124569649,0.4477646833518214,5.54134366008568e-88,5.371008399188119e-06,0.09304674376067254,0.059281398385357245,50,622,95,630,182,6,0.046330929623812134,0.7480617071461874
RandomForestRegressor,Featset1,Original,SNCA,0.4640397583359454,0.3188472546144659,2.844571765998289e-34,0.0016370501684470564,0.08497755981261773,0.08478743030067086,50,617,95,372,100,3,0.05166564110691271,0.5439401398788732
RandomForestRegressor,Featset1,Original,SNCA,0.5923500753749932,0.43510120716016026,5.509527119738681e-60,1.0515570942595226e-05,0.087851779796025,0.07428425332286225,50,620,95,506,140,5,0.01146654621954074,0.788831429064878
RandomForestRegressor,Featset1,Original,SNCA,0.6210481850837793,0.3372496000755068,3.4178266126260746e-67,0.000887516715611832,0.09712388888158795,0.07341730384963618,50,618,94,766,140,5,0.01146654621954074,0.788831429064878
RandomForestRegressor,Featset1,Original,SNCA,0.5569360976616529,0.3881017993651009,4.850251684473403e-52,0.00010184699690627852,0.07757490492000159,0.07853838859879413,50,623,95,75,22,5,0.0019569694463066334,0.69917010274717
