Model,Feature_set,Param_space,Gene,train_statistic,test_statistic,train_P_value,test_P_value,test_Mean_Squared_Error,train_Mean_Squared_Error,n_trials,Total_train,Total_test,random_state,max_depth,max_features,max_samples
RandomForestRegressor,Featset1,Original,SCN9A,0.6569512588974561,0.13980311439644377,4.009152474324811e-43,0.2132070436932991,0.06289213923908145,0.035650291937888455,50,338,81,91,11,0.1,0.1
RandomForestRegressor,Featset1,Original,SCN9A,0.6332831938139091,0.19781474720696435,2.734377917524577e-39,0.07669405792984398,0.06036059750834981,0.039133030916420945,50,338,81,174,17,0.1,0.1
RandomForestRegressor,Featset1,Original,SCN9A,0.6324630494623843,0.02447097748011354,3.6623461931515535e-39,0.8283267132287594,0.050625887199440556,0.036963116573357754,50,338,81,932,9,0.1,0.1
RandomForestRegressor,Featset1,Original,SCN9A,0.5918515166241866,0.20457883779148797,2.5174896562983944e-33,0.06694842477588614,0.045566578366508965,0.04099189856366293,50,338,81,904,4,0.1,0.1
RandomForestRegressor,Featset1,Original,SCN9A,0.6442429385516318,0.07133474305302809,5.054562502499177e-41,0.5268374972173232,0.062342731418283066,0.036697677136089485,50,338,81,444,8,0.1,0.1
RandomForestRegressor,Featset1,Original,SCN9A,0.6168369551759759,0.11419406608877315,8.139221546146301e-37,0.31005923195374663,0.059400991977839296,0.03637787313881894,50,338,81,48,8,0.1,0.1
RandomForestRegressor,Featset1,Original,SCN9A,0.6200573686339956,0.2544866489473151,2.7397853504567413e-37,0.021867170490923217,0.06447271304752368,0.03778050115189557,50,338,81,421,6,0.1,0.1
RandomForestRegressor,Featset1,Original,SCN9A,0.6052243971938924,5.946639670643695e-05,3.725573374774851e-35,0.9995796114311407,0.07630842569792691,0.0348610560585874,50,338,81,169,4,0.1,0.1
RandomForestRegressor,Featset1,Original,SCN9A,0.6335610383034367,0.18752607665480212,2.4761730772923452e-39,0.09365788038845825,0.058503916827646885,0.04013543147502508,50,338,81,277,5,0.1,0.1
RandomForestRegressor,Featset1,Original,SCN9A,0.6324255352055472,0.10751178673915256,3.711545997093906e-39,0.33940605737902735,0.05866035325194295,0.036751965700671664,50,338,81,923,7,0.1,0.1
