Model,Feature_set,Param_space,Gene,train_statistic,test_statistic,train_P_value,test_P_value,test_Mean_Squared_Error,train_Mean_Squared_Error,n_trials,Total_train,Total_test,random_state,C
RandomForestRegressor,Featset1,Original,SCN9A,0.23848227946226785,0.32590502749600797,0.002315197047762235,0.0029870023233626395,0.06101228833237357,0.05838496593713872,50,161,81,203,0.026355809146613007
RandomForestRegressor,Featset1,Original,SCN9A,0.2317639270319354,0.14175784372018405,0.0030941358981894603,0.2068132582819945,0.06308124122600309,0.061938591902296926,50,161,81,133,0.004682932063755141
RandomForestRegressor,Featset1,Original,SCN9A,0.24599717187995093,0.1768377509913125,0.001657952355728229,0.11427259779099379,0.048901498037714874,0.0658097874536146,50,161,81,814,0.004682932063755141
RandomForestRegressor,Featset1,Original,SCN9A,0.32563390238211054,0.18240061784181616,2.496638778317762e-05,0.10314499205705253,0.0651699040019239,0.0543187648379416,50,161,81,716,0.004682932063755141
RandomForestRegressor,Featset1,Original,SCN9A,0.24620690300143336,-0.0037656800600250786,0.0016423347431464327,0.973383945023553,0.0638967206147211,0.058261851923150226,50,161,81,831,0.004682932063755141
RandomForestRegressor,Featset1,Original,SCN9A,0.2574303820422632,0.3103169854958332,0.0009782216765870648,0.004811301073369777,0.06383827556865676,0.06123737309674308,50,161,81,247,0.004682932063755141
RandomForestRegressor,Featset1,Original,SCN9A,0.30758624307134647,0.006769336022073769,7.215047567470586e-05,0.9521733429245296,0.05616728453264285,0.05962313099569809,50,161,81,680,0.026355809146613007
RandomForestRegressor,Featset1,Original,SCN9A,0.27624872701441394,0.042186230565375314,0.00038938902122786866,0.7084479273444813,0.06501302970426617,0.0559038845860118,50,161,81,53,0.011047754673133126
RandomForestRegressor,Featset1,Original,SCN9A,0.2155171715346108,0.2096376420487532,0.006039286247622955,0.06033418842996492,0.05561448895271831,0.05785109622495245,50,161,81,278,0.004682932063755141
RandomForestRegressor,Featset1,Original,SCN9A,0.2747219896582925,0.16690856613958996,0.0004206520979968515,0.13640899366677411,0.05130760534574755,0.05826296358060546,50,161,81,930,0.004682932063755141
