Model,Feature_set,Param_space,Gene,train_statistic,test_statistic,train_P_value,test_P_value,test_Mean_Squared_Error,train_Mean_Squared_Error,n_trials,Total_train,Total_test,random_state,n_estimators,max_depth,max_leaves
RandomForestRegressor,Featset1,Original,SCN9A,0.7846163687977071,0.29906612431580537,2.0831771047452487e-78,0.015519110854602901,0.05864652919206245,0.0237697694187796,50,370,65,966,130,60,2
RandomForestRegressor,Featset1,Original,SCN9A,0.7464290283030853,0.344958400038135,4.517438113152366e-67,0.0048911204206333716,0.0566051344976803,0.027617086589793987,50,370,65,817,86,79,2
RandomForestRegressor,Featset1,Original,SCN9A,0.6459676630632551,0.39394930261073974,4.490603190417385e-45,0.001166800721446896,0.03780626582199277,0.03706124069844777,50,370,65,675,30,100,2
RandomForestRegressor,Featset1,Original,SCN9A,0.8711438612236067,0.31822760998667493,1.0123272635850409e-115,0.009783516450428301,0.04974482822302935,0.014796496836864877,50,370,65,152,341,57,2
RandomForestRegressor,Featset1,Original,SCN9A,0.8191994159262854,0.32806434390859274,7.038875613040977e-91,0.007632849022845127,0.048074480800255434,0.019905020759933757,50,370,65,292,191,8,2
RandomForestRegressor,Featset1,Original,SCN9A,0.8293619337038202,0.40725690907651046,4.619008506683977e-95,0.0007600975178207873,0.06011284622924677,0.018561267828246054,50,370,65,799,213,94,2
RandomForestRegressor,Featset1,Original,SCN9A,0.8218328589140211,0.3502497506028273,6.15496334858471e-92,0.004233543115688145,0.044404469101906555,0.019978383954104464,50,370,65,904,191,8,2
RandomForestRegressor,Featset1,Original,SCN9A,0.8692701649396607,0.2784986592699189,1.2017011640630817e-114,0.02467795718315535,0.05472681503734396,0.014357622293212044,50,370,65,596,372,46,2
RandomForestRegressor,Featset1,Original,SCN9A,0.6886840665450547,0.4463795868589735,2.496688775484407e-53,0.00019374703905159396,0.05162318648151112,0.03106845646871665,50,370,65,875,51,12,2
RandomForestRegressor,Featset1,Original,SCN9A,0.8821987809178417,0.32653452035276104,2.0083114445787358e-122,0.00793740167559376,0.0750849328661957,0.012214421725637865,50,370,65,270,385,29,2
